"{8.817828829984342*^-7, {40.34965984680878, 145.98753060898082, 21.697013505326794, 153.5094493053446, 51.93460906843387, 120.10283549531127}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.4244060277807033*^-7, {145.77080972155213, 26.056189966173342, 154.2843204648778, 30.98333349892089, 121.79245238485056, 57.17535232720906}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{6.30334845435666*^-7, {33.755857194766705, 135.13771151709906, 56.62030887029205, 128.00263657468315, 24.3911780973395, 157.77834338768596}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{5.334098587396233*^-7, {138.2924020639491, 49.164769858671015, 126.15281706003029, 43.44299923240802, 158.14577760807987, 20.57310642180299}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{6.796766985420184*^-7, {20.83932313881168, 158.0783837939526, 43.46395174798917, 126.53311581676408, 48.87219627611662, 138.06335163598405}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.772741372781652*^-7, {158.0187021797301, 24.650320087486048, 127.6305049254703, 56.56364892185037, 135.25055491047732, 33.49745977741481}}","{-0.5, -0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{3.4841047847073985*^-7, {55.89133478364454, 123.83485273872542, 29.455652815906593, 155.70344215481734, 24.740196811203674, 146.59566249970658}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.5808943855057647*^-7, {121.90741864162213, 50.789832989633574, 154.3166634749872, 20.22150425612099, 147.66551259586603, 38.914146614019124}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.2861022791231945*^-7, {39.17100551296637, 147.58367230591844, 20.214267694091493, 154.6257259794155, 50.4969931396635, 121.67935570951738}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{3.893461408206467*^-6, {146.82863996249648, 25.000143647266583, 155.39489166470875, 29.454923844552056, 124.00300251699335, 55.630686499168945}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.2325702145668606*^-7, {32.649390891205975, 136.90661887849743, 54.55559173104581, 129.57541267135267, 23.36940671764233, 158.7419139002722}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{3.85384299420566*^-7, {139.43803704529583, 47.765018258274566, 127.78970010220635, 41.75211784949511, 159.6428712067462, 19.549776755424457}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
