"{7.272180424107453*^-8, {0.514875151113804, 2.6128281564952274, 0.5402583735868347, 0.5319182521992796, 2.6223539445370263, 2.638958009227158}}","{-5., -5., 265.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.180790168284038*^-9, {0.5364708250449095, 2.5908161296908037, 0.5622315335496212, 0.5535686650830776, 2.600670319085893, 2.6173264499260105}}","{-5., -5., 266.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.02273490680307*^-9, {0.5582601657858585, 2.5685786876817307, 0.5844308180659145, 0.5754214254683263, 2.5787860071621087, 2.595502492266912}}","{-5., -5., 267.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.075006181345563*^-9, {0.580262148376545, 2.5460940776036525, 0.6068780097803832, 0.5974961940135017, 2.5566814456218543, 2.5734672270180767}}","{-5., -5., 268.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{6.21331306609097*^-9, {0.6024973221275625, 2.5233385470292036, 0.629596895723998, 0.6198143101847933, 2.5343354087885532, 2.551200181344575}}","{-5., -5., 269.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{6.489525902055752*^-9, {0.6249880499523549, 2.5002860253359946, 0.6526135876070176, 0.642399050275606, 2.5117247529683553, 2.5286790819178795}}","{-5., -5., 270.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.630644960398942*^-9, {0.6477587917019216, 2.4769077398179125, 0.6759569070067091, 0.6652759344780613, 2.488824113120434, 2.5058795737353154}}","{-5., -5., 271.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{4.8281499790650126*^-9, {0.6708364429689974, 2.453171750554114, 0.6996588519878799, 0.6884730953606987, 2.4656055391867526, 2.4827748844417408}}","{-5., -5., 272.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{4.0826273124691956*^-9, {0.6942507432169654, 2.4290423815544275, 0.7237551682647337, 0.7120217235320064, 2.4420380562712523, 2.4593354198111688}}","{-5., -5., 273.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.582728732425039*^-9, {0.7180347715745081, 2.40447951846814, 0.7482860541510754, 0.7359566113187118, 2.4180871279366367, 2.435528273010612}}","{-5., -5., 274.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{2.319296217350767*^-6, {0.7422255483634651, 2.379437747485303, 0.7732970409017814, 0.7603168325611452, 2.3937140107586172, 2.4113166108522117}}","{-5., -5., 275.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{6.952278155185953*^-9, {0.5176247857770643, 0.5273706021555028, 0.534879868341625, 0.5266077709763296, 2.6274578478928112, 2.6362095573656115}}","{-5., -4., 265.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{3.744243149951084*^-9, {0.5392430073047165, 0.5493628493952424, 0.556846153465872, 0.5482550410755674, 2.6057761995270656, 2.614555566791462}}","{-5., -4., 266.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{5.306563861881056*^-9, {0.5610571776401516, 0.5715787619643026, 0.5790365173060502, 0.5701028423550111, 2.583895502765355, 2.5927069045019326}}","{-5., -4., 267.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
