2.96,1.00,3.25,0,1,3,0.02
2.96,1.00,3.25,0,1,3,0.02
2.96,1.00,3.25,0,1,3,0.02
2.96,1.00,3.25,0,1,3,0.02
2.96,1.01,3.25,0,1,3,0.02
2.96,1.02,3.25,0,1,3,0.02
2.96,1.04,3.25,0,1,3,0.02
2.96,1.06,3.25,0,1,3,0.02
2.96,1.08,3.25,0,1,3,0.02
2.96,1.11,3.25,0,1,3,0.02
2.96,1.14,3.25,0,1,3,0.02
2.96,1.17,3.25,0,1,3,0.02
2.96,1.21,3.25,0,1,3,0.02
2.96,1.25,3.25,0,1,3,0.02
2.96,1.29,3.25,0,1,3,0.02
2.96,1.34,3.25,0,1,3,0.02
2.96,1.39,3.25,0,1,3,0.02
2.96,1.44,3.25,0,1,3,0.02
2.96,1.49,3.25,0,1,3,0.02
2.96,1.55,3.25,0,2,3,0.02
2.96,1.61,3.25,0,2,3,0.02
2.96,1.68,3.25,0,2,3,0.02
2.96,1.74,3.25,0,2,3,0.02
2.96,1.81,3.25,0,2,3,0.02
2.96,1.88,3.25,0,2,3,0.02
2.96,1.95,3.25,0,2,3,0.02
2.96,2.03,3.25,0,2,3,0.02
2.96,2.11,3.25,0,2,3,0.02
2.96,2.19,3.25,0,2,3,0.02
2.96,2.27,3.25,0,2,3,0.02
2.96,2.35,3.25,0,2,3,0.02
2.96,2.44,3.25,0,2,3,0.02
2.96,2.52,3.25,0,3,3,0.02
2.96,2.60,3.25,0,3,3,0.02
2.96,2.67,3.25,0,3,3,0.02
2.96,2.73,3.25,0,3,3,0.02
2.96,2.79,3.25,0,3,3,0.02
2.96,2.84,3.25,0,3,3,0.02
2.96,2.89,3.25,0,3,3,0.02
2.96,2.93,3.25,0,3,3,0.02
2.96,2.97,3.25,0,3,3,0.02
2.96,3.01,3.25,0,3,3,0.02
2.96,3.03,3.24,0,3,3,0.02
2.96,3.06,3.24,0,3,3,0.02
2.96,3.08,3.23,0,3,3,0.02
2.96,3.09,3.22,0,3,3,0.02
2.96,3.11,3.21,0,3,3,0.02
2.96,3.11,3.20,0,3,3,0.02
2.96,3.12,3.18,0,3,3,0.02
2.96,3.11,3.16,0,3,3,0.02
2.96,3.11,3.14,0,3,3,0.02
2.96,3.10,3.12,0,3,3,0.02
2.96,3.10,3.09,0,3,3,0.02
2.96,3.10,3.06,0,3,3,0.02
2.96,3.10,3.03,0,3,3,0.02
2.96,3.11,3.00,0,3,3,0.02
2.96,3.12,2.96,0,3,3,0.02
2.95,3.13,2.93,0,3,3,0.02
2.95,3.15,2.89,0,3,3,0.02
2.95,3.18,2.85,0,3,3,0.02
2.95,3.20,2.81,0,3,3,0.02
2.94,3.23,2.77,0,3,3,0.02
2.94,3.26,2.73,0,3,3,0.02
2.93,3.30,2.69,0,3,3,0.02
2.92,3.34,2.65,0,3,3,0.02
2.91,3.38,2.61,0,3,3,0.02
2.91,3.41,2.58,0,3,3,0.02
2.90,3.43,2.54,0,3,3,0.02
2.89,3.45,2.50,0,3,3,0.02
2.88,3.48,2.47,0,3,2,0.02
2.87,3.50,2.43,0,4,2,0.02
2.86,3.54,2.40,0,4,2,0.02
2.86,3.57,2.37,0,4,2,0.02
2.85,3.61,2.34,0,4,2,0.02
2.84,3.65,2.30,0,4,2,0.02
2.83,3.69,2.27,0,4,2,0.02
2.82,3.72,2.24,0,4,2,0.02
2.81,3.75,2.21,0,4,2,0.02
2.80,3.77,2.19,0,4,2,0.02
2.79,3.79,2.16,0,4,2,0.02
